Value
803.42
842.14
765.23
833.33
825.73
852.98
850.03
841.24
805.73
798.2
804.39
897.81
842.95
786.92
813.52
827.12
824.12
868.17
779.3
890.25
792.57
797.24
810.59
860.32
875.71
761.05
803.64
844.42
763.39
955.01
769.42
841.78
831.88
783.66
863.62
871.02
807.68
810.75
773.76
878.93
769.46
889.3
807.88
841.51
826.64
783.05
789.9
922.94
795.25
817.85
784.43
838.25
834.75
884.72
819.09
828.11
793.87
845.22
786.85
876.11
835.1
768.25
850.71
827.04
787.31
916.02
774.93
855.73
784.77
745.22
851.37
857.73
816.59
764.37
778.39
780.07
750.68
809.58
393.56
352.79
266.13
184.96
208.22
247.23
195.16
168.2
169.68
205.14
149.38
258.21
160.18
204.53
189.56
152.92
182.81
232.02
197.48
191.09
157.51
199.93
145.01
273.81
164.49
210.55
171.59
154.73
187.27
248.77
205.62
187.01
151.93
191.12
147.36
279.41
173.82
195.04
169.56
154.16
195.06
244.01
203.86
179.15
134.34
211.91
154.21
274.95
159.45
198.83
168.37
155.51
194.42
256.63
196.76
170.35
141.48
213.44
182.21
279.83
165.85
194.22
167.17
164.76
200.43
241.64
191.14
178.31
143.9
214.24
163.88
270.2
153.35
198.52
181.88
163.03
207.11
237.69
208.01
375.17
372.22
331.03
524.19
388.37
395
653.54
455.06
706.4
422.33
953.7
684.63
521.05
