Value
63.26
61.05
57.34
54.2
63.04
61.26
57.34
58.83
65.44
54.26
57.32
63.45
63.07
57.75
58.44
65.85
53.86
57.69
63.05
61.26
57.53
58.64
65.44
54.26
57.51
63.26
61.05
57.53
58.64
65.66
54.04
57.32
63.45
61.96
57.74
58.44
57.72
60.83
57.73
63.05
61.26
57.34
54.2
63.25
61.05
57.53
63.26
61.05
57.34
54.2
63.04
61.26
57.34
62.33
63.07
57.75
53.83
63.43
63.07
57.75
58.64
63.26
61.05
54.02
63.25
63.28
57.54
58.44
62.34
62.16
53.85
63.43
63.28
57.35
58.83
58.64
66.77
53.86
63.43
61.96
57.74
58.44
58.83
65.44
54.26
63.04
63.49
57.35
58.83
58.45
63.46
57.35
63.45
58.46
62.34
54.03
61.02
62.16
57.35
62.33
58.46
62.34
58.46
63.46
58.46
57.72
63.05
58.86
61.94
61.25
58.45
58.83
57.33
61.22
63.27
57.35
61.22
60.88
61.04
54.96
61.2
58.65
62.15
60.84
58.85
61.03
55.14
61.02
58.45
62.34
58.46
62.34
58.65
57.52
62.14
58.65
62.15
58.65
63.26
58.46
57.72
63.05
58.86
61.94
58.86
62.15
58.65
57.52
63.26
58.66
61.94
58.86
61.94
62.16
54.23
63.04
58.86
61.94
58.86
61.94
58.86
57.33
62.33
58.46
62.34
58.46
63.46
58.46
57.72
63.05
