Title:,'client - Traffic - ens160',
Vertical Label:,'bits per second',
Start Date:,3/3/2022 19:45,
End Date:,3/4/2022 14:45,
Step:,300,
Total Rows:,228,
Graph ID:,8,
Host ID:,2,
,,
Date,Inbound,Outbound
8:20:00,868.911809,498.0058836
8:25:00,762.5626169,502.6838823
8:30:00,952.0040205,505.5106524
8:35:00,808.9871111,505.8389333
8:40:00,1033.850991,493.5162995
8:45:00,1219.202559,499.1458874
8:50:00,1745.922538,509.0071465
8:55:00,1496.309144,497.3414512
9:00:00,1865.875252,499.0119375
9:05:00,2323.95137,500.4868001
9:10:00,2078.872443,508.441628
9:15:00,2071.037281,496.8628238
9:20:00,1820.357859,500.2844672
9:25:00,1743.851576,506.2128086
9:30:00,1574.698792,505.1311379
9:35:00,1605.333751,496.2696125
9:40:00,1814.128711,503.416
9:45:00,1919.9152,509.9781333
9:50:00,1856.187733,492.417608
9:55:00,1759.364104,498.1816562
10:00:00,1783.174014,509.3845896
10:05:00,1715.044461,506.9764129
10:10:00,1564.459073,506.8901012
10:15:00,1385.953638,260.2648321
10:20:00,1112.485956,60.15982222
10:25:00,1212.6752,45.56657778
10:30:00,809.7473866,50.77312868
10:35:00,557.2175519,55.75265147
10:40:00,461.4177526,54.30395982
10:45:00,621.2662161,46.52707697
10:50:00,592.4719898,55.38548117
10:55:00,650.8715999,59.29170946
11:00:00,575.3237489,46.20995167
11:05:00,519.4103425,51.0973393
11:10:00,399.8405102,50.79183013
11:15:00,609.4799803,58.14462472
11:20:00,1304.187943,46.35957993
11:25:00,1411.515467,54.4528
11:30:00,1226.965067,55.59626667
11:35:00,1058.401689,50.97546667
11:40:00,1223.871378,46.33546667
11:45:00,1233.881998,55.38496478
11:50:00,1008.044329,60.40796364
11:55:00,1531.268273,46.21369749
12:00:00,1180.772128,55.72182091
12:05:00,1252.059322,55.41651796
12:10:00,1623.781124,51.15900043
12:15:00,1243.804081,46.1826607
12:20:00,1526.841002,60.34630251
12:25:00,1513.300836,54.31947822
12:30:00,1259.601996,46.52707697
12:35:00,1129.783962,50.77631174
12:40:00,1471.097732,60.37713308
12:45:00,1136.008371,50.99160491
12:50:00,843.393476,46.18209258
12:55:00,845.3316201,58.11379415
13:00:00,641.3467409,56.53710286
